,title,height,length,art_type,medium_text,date_text,age,house,fecha,price,author,performance,source,country
1249,"Masque Rouge (Red Mask), from Mujeres (Pereda 124) by Rufino Tamayo, 1969",21.25,27.5,Prints & Multiples: Summer Splash, Lithograph in colors on Rives BFK paper ,1969,53,Bonhams,2022-08-16,, Rufino Tamayo,-420,Mutual Art,-
1250,"Dos Figuras (Pereda 220) by Rufino Tamayo, 1976",22.5,30.0,Prints & Multiples: Summer Splash, Mixografía® relief print in colors on wove paper ,1976,46,Bonhams,2022-08-16,, Rufino Tamayo,-420,Mutual Art,-
1254,"Mercado de carne en Hamburgo. Carnicero by José Luis Cuevas, 1973",33.02,9.0,Morton's Saturdays | Opportunities 1151, Ink on paper ,1973,49,"Morton Auctions, Cerro de Mayka",2022-08-13,302.0, José Luis Cuevas,-420,Mutual Art,-
1255,"""Dos personajes"" by José Luis Cuevas, 1999",27.2,37.0,Morton's Saturdays | Opportunities 1151, Lithograph ,1999,23,"Morton Auctions, Cerro de Mayka",2022-08-13,151.0, José Luis Cuevas,-420,Mutual Art,-
1263,"Estudio de manos; Contorsionistas by José Luis Cuevas, 1974",28.0,20.5,AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, etchings and etching ,1974,48,"Morton Auctions, Cerro de Mayka",2022-08-11,251.0, José Luis Cuevas,-420,Mutual Art,-
1264,"Pescadores en Blanes by José Luis Cuevas, 1981",109.22,63.0,AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, Aquatint and etching ,1981,41,"Morton Auctions, Cerro de Mayka",2022-08-11,477.0, José Luis Cuevas,-420,Mutual Art,-
1294,"Cabeza sobre fondo verde by Rufino Tamayo, 1979",142.24,76.0,AUCTION OF GRAPHIC WORK AND PHOTOGRAPHY, etchings ,1979,43,"Morton Auctions, Cerro de Mayka",2022-08-11,2760.0, Rufino Tamayo,-420,Mutual Art,-
1326,"Les Venusiennes by Roberto Matta, 1971",18.5,23.75,Studio Art, Color lithograph on paper ,1971,51,"Skinner, Marlborough",2022-07-23,, Roberto Matta,-420,Mutual Art,-
1330,"Champagne Millésime da collezione di Matta per Taittinger Collection. by Roberto Matta, 1992",88.9,5.0,MODERN & CONTEMPORARY ART Virtual, Screen printing multiple and bottle ,1992,30,Capitolium Art,2022-07-27,178.0, Roberto Matta,-420,Mutual Art,-
1331,"Nuotare nella musica. by Roberto Matta, 1980",53.0,49.0,MODERN & CONTEMPORARY ART Virtual, Etching ,1980,42,Capitolium Art,2022-07-27,153.0, Roberto Matta,-420,Mutual Art,-
