,title,height,length,art_type,medium_text,date_text,age,house,fecha,price,author,performance,source,country
1500,le tango,127.0,35.0,auction 276, oil on canvas ,2003,19,galerie kornfeld,2022-06-03,331899.0, fernando botero,1.9692308970232721,mutual art,-
1501,dancers,15.0,100.625,prints + multiples, lithograph in colors ,1983,39,rago arts and auction center,2022-06-16,5622.0, fernando botero,1.4062558625261077,mutual art,-
1502,senza titolo,191.77,60.5,20th/21st century: milan online sale part ii, oil on canvas ,1965,57,christie's,2022-06-03,21588.0, roberto matta,1.344,mutual art,-
1503,herzdame,58.42,7.0,auction 276, watercolour over preliminary drawing in pen and ink ,1963,59,galerie kornfeld,2022-06-03,1556.0, francisco toledo,1.4999759001301394,mutual art,-
1504,cherche eve. - feuilles ouvertes. - personnage brune. - personnage verte,76.0,5.0,auction 276," 4 colour etchings, two with relief printing ",1972,50,galerie kornfeld,2022-06-03,311.0, roberto matta,1.2000771753810535,mutual art,-
1505,le couple,459.74,90.0,modern and contemporary art, gouache and indian ink on cardboard on plywood panel ,1945,77,piasa,2022-06-16,10255.0, roberto matta,1.2999936616593775,mutual art,-
1543,protesta,30.5,22.5,prints & multiples, mixografía® in colors on handmade paper ,1983,39,bonhams,2022-06-14,5352.0, rufino tamayo,0.8924983115572862,mutual art,-
1544,bacchus,505.46,5.0,hubert de givenchy - collectionneur: chefs-d'oeuvre | masterpieces, oil on canvas ,1997,25,christie's,2022-06-14,787524.0, claudio bravo,1.2599999952001462,mutual art,-
1545,esquisse de dialogue or petit dialogue,41.910000000000004,14.0,modern & contemporary auction, bronze ,1961,61,sotheby's,2022-06-07,28471.0, alicia penalba,1.584001424271591,mutual art,-
1546,"mujer con mallas negras, from mujeres",27.125,21.25,prints & multiples, lithograph in colors on rives bfk paper ,1969,53,bonhams,2022-06-14,1912.0, rufino tamayo,1.739051343853745,mutual art,-
1547,"personaje en azul, from rufino tamayo 15 aguafuertes",29.5,21.875,prints & multiples, etching in colors on guarro paper ,1980,42,bonhams,2022-06-14,3568.0, rufino tamayo,1.1900076710135743,mutual art,-
1548,busto en rojo,22.5,30.25,prints & multiples, mixografía® in colors on handmade paper ,1984,38,bonhams,2022-06-14,3187.0, rufino tamayo,0.7969990622069397,mutual art,-
1549,tehuantepec river,12.25,9.0,prints & multiples, lithograph on wove paper ,1951,71,bonhams,2022-06-14,701.0, miguel covarrubias,0.87625,mutual art,-
1550,"two plates, from amanecer en el delta del paraná",15.0,11.0,prints & multiples, lithographs in colors ,1972,50,bonhams,2022-06-14,2167.0, rufino tamayo,0.8671989114992897,mutual art,-
1551,el personaje,29.75,22.125,prints & multiples, lithograph in colors on wove paper ,1975,47,bonhams,2022-06-14,2167.0, rufino tamayo,1.44534115920763,mutual art,-
1552,cabeza sobre fondo azul,30.0,22.25,prints & multiples, mixografía® in colors on handmade paper ,1984,38,bonhams,2022-06-14,3568.0, rufino tamayo,0.8925020323932212,mutual art,-
1553,"sweeping the frogs, from the cowboy series",15.75,20.5,prints & multiples, lithograph in colors on arches paper ,1971,51,bonhams,2022-06-14,1529.0, francisco toledo,1.5299944964226746,mutual art,-
1554,apollo,505.46,5.0,hubert de givenchy - collectionneur: chefs-d'oeuvre | masterpieces, oil on canvas ,1998,24,christie's,2022-06-14,656269.0, claudio bravo,1.0499999920002314,mutual art,-
1556,untitled,63.5,19.0,"paintings, prints & multiples", etching ,1978,44,studio d'arte borromeo,2022-06-14,26.0, josé luis cuevas,0.03571428571428571,mutual art,-
1563,femme au collant noir (mujer con mallas negras),27.5,21.0,fine art & design selections, lithograph ,1969,53,hindman,2022-06-10,1749.0, rufino tamayo,1.166661107961178,mutual art,-
1567,la araucana,1267.46,695.0,"prints, drawings & paintings | old master, modern and contemporary art", lithograph ,1978,44,gonnelli auction house,2022-06-08,258.0, roberto matta,2.4,mutual art,-
1568,amies amor,49.0,47.0,art contemporain day auction, oil on canvas ,1965,57,sotheby's,2022-06-01,20105.0, roberto matta,1.5120008723805083,mutual art,-
1576,petite ailée no 2,76.708,35.3,de l'avant-garde à nos jours, bronze on a marble base ,1969,53,bonhams,2022-06-09,43348.0, alicia penalba,5.8135683008442465,mutual art,-
1577,sans titre,195.58,55.0,post-war & contemporary art, pastel ,1970,52,artcurial,2022-06-09,7686.0, roberto matta,1.202666332853477,mutual art,-
1579,la folie est soif de verité,76.7,67.5,de l'avant-garde à nos jours, oil on canvas ,1973,49,bonhams,2022-06-09,31236.0, roberto matta,1.5434178928956133,mutual art,-
1584,untitled,116.84,32.5,arte moderna e contemporanea, pencil and charcoal on paper ,1959,63,martini studio d'arte,2022-06-08,1395.0, agustín‏ fernández,0.8666480290746437,mutual art,-
1586,droites liberees,22.0,16.0,art editions, etching on japon paper ,1971,51,studio d'arte borromeo,2022-06-06,267.0, roberto matta,0.3571428571428572,mutual art,-
1587,(el circulo de piedra),142.24,5.0,art editions, lithography ,1970,52,studio d'arte borromeo,2022-06-06,134.0, agustin cárdenas,0.2777777777777778,mutual art,-
1588,untitled (el circulo de piedra),142.24,5.0,art editions, lithography ,1970,52,studio d'arte borromeo,2022-06-06,147.0, agustin cárdenas,0.30444237340789065,mutual art,-
1591,composition surréaliste,16.875,13.0,#ventefauve309, mixed media on paper ,1970,52,fauveparis,2022-06-04,2095.0, roberto matta,0.9775102650242629,mutual art,-
1593,untitled,24.0,40.0,opportunities 1141 | face-to-face, silkscreen (2) ,2006,16,"morton auctions, cerro de mayka",2022-06-04,205.0, josé luis cuevas,0.7273372361185027,mutual art,-
1594,autorretrato,54.61,14.0,opportunities 1141 | face-to-face, ink and pencil ,1967,55,"morton auctions, cerro de mayka",2022-06-04,435.0, josé luis cuevas,0.9444203213200173,mutual art,-
1596,untitled,127.0,1.0,"art of the 15th - 19th centuries, modern art : modern art part ii (catalogue only available online) lot 7000 to 7365", gouache on firm vellum ,1964,58,bassenge,2022-06-03,797.0, alicia penalba,1.8599766627771295,mutual art,-
1599,la vendedora de fruta,153.162,45.1,latin american art auction, oil and gouache on canvas ,1938,84,"morton auctions, cerro de mayka",2022-06-02,383450.0, rufino tamayo,0.8333333333333334,mutual art,-
1600,untitled,105.41,61.0,latin american art auction, watercolor and graphite pencil on paper ,1955,67,"morton auctions, cerro de mayka",2022-06-02,2045.0, raúl anguiano,0.7547100178989906,mutual art,-
1602,nísperos y hojas,76.2,40.0,latin american art auction, oil on masonite ,1962,60,"morton auctions, cerro de mayka",2022-06-02,12270.0, olga costa,3.0,mutual art,-
