title,height,length,art_type,date_text,age,house,fecha,price,author,performance,acrylic,aquatint,arches,black,board,bronze,brown,canvas,cardboard,charcoal,color,colors,colours,crayon,down,etching,gelatin,gouache,graphite,guarro,handmade,ink,laid,lithograph,lithographs,masonite,media,metal,mixed,mixografía,mixograph,mounted,nylon,oil,painted,panel,paper,pastel,patina,pencil,plexiglas,plexiglass,print,printed,rice,rods,sand,screenprint,silkscreen,silver,tempera,watercolor,wood,wove,year,month,ln_precio,ln_height,ln_width,age_2,age_3,age_4
no. 52,8.0,10.75,modern design | art,1970,52,bonhams,2022-07-28,3187.0, francisco toledo,1.0626698454510597,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,8.066835314417336,2.0794415416798357,2.3749057545736716,2704,140608,7311616
adoradores del macho cabrío,31.0,47.75,modern design | art,1983,39,bonhams,2022-07-28,5353.0, josé luis cuevas,1.3387520320120043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2022,7,8.585412430393381,3.4339872044851463,3.865979066926739,1521,59319,2313441
mercado de carne en hamburgo,19.0,26.0,modern design | art,1973,49,bonhams,2022-07-28,2549.0, josé luis cuevas,1.0200080032012806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,7.8434564043761155,2.9444389791664403,3.258096538021482,2401,117649,5764801
untitled (figure with hat),11.0,8.5,modern design | art,1980,42,bonhams,2022-07-28,1020.0, rafael coronel,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,6.927557906278317,2.3978952727983707,2.1400661634962708,1764,74088,3111696
centre noeds,23.75,17.5,prints and multiples,1974,48,"heritage auctions, dallas",2022-07-27,5248.0, roberto matta,1.3124921845692137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,8.565602330623925,3.1675825304806504,2.8622008809294686,2304,110592,5308416
"morales guerra, el fumador",60.96,22.5,subasta de oportunidades 1148,1979,43,"morton auctions, cerro de mayka",2022-07-23,49.0, josé luis cuevas,0.4761904761904761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,3.8918202981106265,4.110217911378391,3.1135153092103742,1849,79507,3418801
untitled,9.0,13.625,post-war & contemporary art online,1948,74,bonhams,2022-07-12,7011.0, roberto matta,1.1688311688311688,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,8.855235623206967,2.1972245773362196,2.6119063405493077,5476,405224,29986576
omnimal,41.0,5.0,modern and contemporary art auction,1972,50,art-rite auction house,2022-07-21,268.0, roberto matta,0.8766764802093554,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,5.5909869805108565,3.713572066704308,1.6094379124341003,2500,125000,6250000
sexplication suffisante,93.98,5.0,modern and contemporary art auction,1972,50,art-rite auction house,2022-07-21,328.0, roberto matta,1.0732984293193717,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,5.793013608384144,4.54308199367467,1.6094379124341003,2500,125000,6250000
les voix,28.0,22.0,modern and contemporary art auction,1964,58,art-rite auction house,2022-07-21,204.0, roberto matta,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,5.318119993844216,3.332204510175204,3.091042453358316,3364,195112,11316496
"nature morte aux fruits, couteau et théière devant une fenêtre",91.44,5.0,"modern, contemporary art & design",1998,24,monte-carlo auction house,2022-07-20,148052.0, fernando botero,0.9666666122563574,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,11.905318842388171,4.515683019486556,1.6094379124341003,576,13824,331776
untitled.,241.3,72.0,modern & contemporary art traditional,1951,71,capitolium art,2022-07-13,15236.0, roberto matta,0.8640004536626168,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,9.631416327598494,5.4860409726309864,4.276666119016055,5041,357911,25411681
samotriosa/homo flux.,304.8,205.0,modern & contemporary art traditional,1970,52,capitolium art,2022-07-13,31741.0, roberto matta,0.359999977316406,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,10.365364499570234,5.7196558238124915,5.3230099791384085,2704,140608,7311616
mujer india (pereda 55),30.5,21.5,fine art,1959,63,doyle new york,2022-07-14,1889.0, rufino tamayo,0.9449961229645564,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,7.543802867501509,3.417726683613366,3.068052935133617,3969,250047,15752961
sandías; cocina,23.625,17.875,fine art,1985,37,doyle new york,2022-07-14,315.0, gustavo montoya,0.525,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,5.752572638825633,3.1623054733798064,2.883403088580071,1369,50653,1874161
pedrito,38.25,29.5,fine art,1975,47,doyle new york,2022-07-14,1260.0, fernando botero,1.008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,7.138866999945524,3.644143560272545,3.3843902633457743,2209,103823,4879681
oaxaca.,236.22,5.0,online sale - posters,1943,79,tessier & sarrou,2022-07-12,302.0, miguel covarrubias,0.8571023130410103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,5.71042701737487,5.464763574183701,1.6094379124341003,6241,493039,38950081
plusieurs autres vies,66.0,51.0,pre asta aperta,1977,45,mediartrade casa d'aste,2022-07-12,383.0, roberto matta,0.4222246720317495,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,5.948034989180646,4.189654742026425,3.9318256327243257,2025,91125,4100625
muzik-foot,147.32,59.0,curiosities – discoveries – house backround - session 2,1990,32,accademia fine art,2022-07-12,654.0, roberto matta,4.33399602385686,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,6.483107351457199,4.992607091576865,4.07753744390572,1024,32768,1048576
"feu, feu sur moi",66.0,51.0,pre asta aperta,1977,45,mediartrade casa d'aste,2022-07-12,423.0, roberto matta,0.4666813768755516,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,6.0473721790462776,4.189654742026425,3.9318256327243257,2025,91125,4100625
hombre contemplando la luna,8.0,5.875,summer estate auction.,1947,75,clarke auction,2022-07-10,850.0, rufino tamayo,1.1333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,6.745236349484363,2.0794415416798357,1.7707060600302227,5625,421875,31640625
"rice granary, bali",83.82000000000001,25.0,modern and contemporary southeast asian art,1943,79,"larasati auctioneers, singapore",2022-07-10,1428.0, miguel covarrubias,0.8695652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,7.2640301428995295,4.4286716424969255,3.2188758248682006,6241,493039,38950081
le poing de jour (from: hommage à picasso).,124.46,5.0,art of the 20th century | online only,1971,51,fine art auctions,2022-06-28,556.0, roberto matta,1.3200379867046534,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,6,6.320768294250582,4.823984379141072,1.6094379124341003,2601,132651,6765201
table lamp,251.46,40.0,contemporary design,1970,52,piasa,2022-07-07,1847.0, alicia penalba,1.8199733950830173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,7.52131798019924,5.5272839311650355,3.6888794541139363,2704,140608,7311616
les convaincus,137.16,76.0,belle vente classique,1976,46,lynda trouvé,2022-07-07,213.0, roberto matta,1.0500369731328567,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,5.3612921657094255,4.921148127594719,4.330733340286331,2116,97336,4477456
