DATE,TB3MS,returns
1964-12-01,3.84,0.05494505494505497
1965-01-01,3.81,-0.0078125
1965-02-01,3.93,0.03149606299212593
1965-03-01,3.93,0.0
1965-04-01,3.93,0.0
1965-05-01,3.89,-0.010178117048346036
1965-06-01,3.8,-0.02313624678663251
1965-07-01,3.84,0.010526315789473717
1965-08-01,3.84,0.0
1965-09-01,3.92,0.02083333333333326
1965-10-01,4.03,0.028061224489795977
1965-11-01,4.09,0.014888337468982549
1965-12-01,4.38,0.07090464547677255
1966-01-01,4.59,0.047945205479452024
1966-02-01,4.65,0.013071895424836777
1966-03-01,4.59,-0.012903225806451757
1966-04-01,4.62,0.006535947712418277
1966-05-01,4.64,0.0043290043290042934
1966-06-01,4.5,-0.030172413793103425
1966-07-01,4.8,0.06666666666666665
1966-08-01,4.96,0.03333333333333344
1966-09-01,5.37,0.08266129032258074
1966-10-01,5.35,-0.003724394785847407
1966-11-01,5.32,-0.005607476635513864
1966-12-01,4.96,-0.06766917293233088
1967-01-01,4.72,-0.048387096774193616
1967-02-01,4.56,-0.03389830508474578
1967-03-01,4.26,-0.06578947368421051
1967-04-01,3.84,-0.09859154929577463
1967-05-01,3.6,-0.06249999999999989
1967-06-01,3.54,-0.01666666666666672
1967-07-01,4.21,0.18926553672316393
1967-08-01,4.27,0.014251781472683911
1967-09-01,4.42,0.03512880562060894
1967-10-01,4.56,0.03167420814479627
1967-11-01,4.73,0.037280701754386136
1967-12-01,4.97,0.05073995771670181
1968-01-01,5.0,0.006036217303823088
1968-02-01,4.98,-0.0039999999999998925
1968-03-01,5.17,0.03815261044176688
1968-04-01,5.38,0.04061895551257244
1968-05-01,5.66,0.052044609665427455
1968-06-01,5.52,-0.024734982332155542
1968-07-01,5.31,-0.03804347826086951
1968-08-01,5.09,-0.04143126177024481
1968-09-01,5.19,0.01964636542239706
1968-10-01,5.35,0.030828516377649162
1968-11-01,5.45,0.01869158878504673
1968-12-01,5.96,0.09357798165137621
1969-01-01,6.14,0.030201342281879207
1969-02-01,6.12,-0.0032573289902279035
1969-03-01,6.02,-0.016339869281045805
1969-04-01,6.11,0.014950166112956964
1969-05-01,6.04,-0.011456628477905073
1969-06-01,6.44,0.06622516556291402
1969-07-01,7.0,0.08695652173913038
