ID,precio estimado,precio_venta,fecha,autor,casa subasta,tipo,tecnica,dimensiones,precio estimado dolares,precio venta dolares
3107,400 - 600 usd,"2,006 usd","aug 27, 2022",david alfaro siqueiros,vogt auction galleries,mid-century madness,oil on canvas,"sight: 49 x 56, frame: 51 x 57""",600.0,2006.0
3108,"450,000 - 550,000 mxn","430,000 mxn*","aug 25, 2022",angel zarraga,"morton auctions, monte athos",modern and contemporary art,oil on canvas,35.5 x 37.7 cm,27500.0,21500.0
3109,"40,000 - 60,000 usd","32,000 usd*","jul 20, 2022 - aug 10, 2022",joaquin torres garcia,castells,"online: t.t.g ernesto leborgne collection, others",oil on cardboard,43 x 35 cm,60000.0,32000.0
3110,"40,000 - 50,000 usd","30,000 usd*","jul 20, 2022 - aug 10, 2022",joaquin torres garcia,castells,"online: t.t.g ernesto leborgne collection, others",oil on canvas,44 x 33 cm,50000.0,30000.0
3111,"35,000 - 45,000 usd","35,000 usd*","jul 20, 2022 - aug 10, 2022",joaquin torres garcia,castells,"online: t.t.g ernesto leborgne collection, others",oil on cardboard,38 x 50 cm,45000.0,35000.0
3112,"30,000 - 40,000 usd","26,000 usd*","jul 20, 2022 - aug 10, 2022",joaquin torres garcia,castells,"online: t.t.g ernesto leborgne collection, others",oil on cardboard,87 x 103 cm,40000.0,26000.0
3113,"40,000 - 50,000 usd","42,000 usd*","jul 20, 2022 - aug 10, 2022",joaquin torres garcia,castells,"online: t.t.g ernesto leborgne collection, others",oil on canvas,81 x 65 cm,50000.0,42000.0
3114,"25,000 - 35,000 usd","20,000 usd*","jul 20, 2022 - aug 10, 2022",joaquin torres garcia,castells,"online: t.t.g ernesto leborgne collection, others",oil on canvas,73 x 40 cm,35000.0,20000.0
3115,"800 - 1,200 usd","2,451 usd","jul 28, 2022",cesar villacres,doyle new york,doyle at home®,oil on canvas,20 1/4 x 24 inches (51.4 x 61 cm)( 15 x 18...,1200.0,2451.0
3116,100 - 150 usd,50 usd*,"jun 29, 2022",joaquin torres garcia,kodner galleries,"estate jewelry, art & collectibles",paint on burlap,"27"" x 34-1/2""",150.0,50.0
3117,"15,000 - 20,000 cad","8,500 cad*","jun 28, 2022",diego rivera,champagne auctions,art & prestige,oil on leather,"6 1/4"" x 4 1/2"" 15.9 x 11.4 cm 6 1/4"" x 4...",14600.0,6205.0
3118,"80,000 - 120,000 eur","102,400 eur*","jun 24, 2022",jesus-rafael soto,ader,post-war and contemporary art,"acrylic on panel, nylon and aluminum",79 x 32 cm,116400.0,99328.0
3119,"1,500 - 2,000 chf","1,400 chf*","jun 21, 2022",antonio segui,germann auctions,"paintings, sculptures, watercolors, drawings and multiples (a - z)",oil on cardboard,h 280 mm w 430 mm.,2040.0,1428.0
3120,"1,200 - 1,800 chf","1,000 chf*","jun 21, 2022",antonio segui,germann auctions,"paintings, sculptures, watercolors, drawings and multiples (a - z)",oil on cardboard,h 480 mm w 280 mm.,1836.0,1020.0
3121,"60,000 - 80,000 usd","46,000 usd*","may 14, 2022 - jun 15, 2022",joaquin torres garcia,castells,online: jorge rossetto collection,oil on cardboard,26 x 27 cm,80000.0,46000.0
3122,"40,000 - 60,000 usd","27,000 usd*","may 14, 2022 - jun 15, 2022",joaquin torres garcia,castells,online: jorge rossetto collection,oil on cardboard,38 x 57 cm,60000.0,27000.0
3123,"10,000 - 15,000 eur","11,000 eur*","jun 14, 2022",angel zarraga,gros & delettrez,modern & contemporary art,oil on canvas,46 cm x 38 cm,14550.0,10670.0
3124,200 - 400 usd,800 usd*,"jun 11, 2022",david alfaro siqueiros,vogt auction galleries,decorative art auction,oil on canvas,"19.5 x 15.5"" 27 x 23.5""",400.0,800.0
3125,"800 - 1,200 usd","1,000 usd","jun 10, 2022",david alfaro siqueiros,"hindman, chicago",fine art & design selections,oil on panel,12 x 9 1/2 inches,1200.0,1000.0
3126,"15,000 - 20,000 eur","27,720 eur","jun 01, 2022 - jun 10, 2022",antonio segui,sotheby's paris,art contemporain day auction,oil on canvas,100 x 81 cm 39 3/8 x 31 7/8 in. 100 x 81...,19400.0,26888.399999999998
3127,"30,000 - 50,000 eur","44,100 eur","jun 01, 2022 - jun 10, 2022",antonio segui,sotheby's paris,art contemporain day auction,oil on canvas,200 x 200 cm 78 3/4 x 78 3/4 in. 200 x 200...,48500.0,42777.0
3128,"18,000 - 25,000 eur","53,232 eur","jun 09, 2022",antonio segui,artcurial,post-war & contemporary art,mixed media,"h: 114 w: 146 cm 90""1990""",24250.0,51635.04
3129,"3,500 - 4,500 mxn","3,200 mxn*","jun 04, 2022",diego rivera,"morton auctions, cerro de mayka",opportunities 1141 | face-to-face,oil on canvas,60 x 45 cm,225.0,160.0
3130,"180,000 - 250,000 mxn","160,000 mxn*","jun 02, 2022",juan soriano,"morton auctions, cerro de mayka",latin american art auction,oil on canvas,35 x 20 x 20 cm,12500.0,8000.0
3131,"8,000,000 - 10,000,000 mxn","7,500,000 mxn*","jun 02, 2022",rufino tamayo,"morton auctions, cerro de mayka",latin american art auction,oil and gouache on canvas,60.3 x 45.1 cm,500000.0,375000.0
3132,"750,000 - 1,000 mxn","700,000 mxn*","jun 02, 2022",juan soriano,"morton auctions, cerro de mayka",latin american art auction,oil on canvas,132 x 76 cm,50.0,35000.0
3133,"400,000 mxn","460,000 mxn*","jun 02, 2022",francisco toledo,"morton auctions, cerro de mayka",latin american art auction,oil on cardboard,33 x 24 cm,20000.0,23000.0
3134,"4,000,000 mxn","7,000,000 mxn*","jun 02, 2022",angel zarraga,"morton auctions, cerro de mayka",latin american art auction,oil on canvas,155.7 x 110 cm,200000.0,350000.0
3135,"15,000 - 25,000 usd","8,000 usd*","may 27, 2022",emilio pettoruti,trinity international auctions,may 2022 catalog,oil on canvas,16 x 24 in 6 x 61 cm 24 x 34 in 61 x 86.3 cm,25000.0,8000.0
3136,"2,000 - 3,000 eur","1,400 eur*","may 24, 2022",rene portocarrero,setdart,contemporary and actual art,oil on cardboard,76 x 56 cm 103 x 82 cm,2910.0,1358.0
3137,"5,000 - 7,000 eur","22,000 eur*","may 24, 2022",rene portocarrero,"il ponte auction house, via pontaccio",modern and contemporary art,oil on canvas,cm 50x39.5,6790.0,21340.0
3138,"150,000 - 200,000 usd","315,000 usd","may 20, 2022",tomas sanchez,sotheby's new york,contemporary day auction,acrylic on canvas,58½ by 41 in. 148.6 by 104.1 cm.,200000.0,315000.0
3139,"40,000 - 60,000 usd","44,100 usd","may 20, 2022",fernando de szyszlo,sotheby's new york,contemporary day auction,acrylic on canvas,55⅛ by 59 in. 140 by 150 cm.,60000.0,44100.0
3140,"200,000 - 300,000 usd","415,800 usd","may 20, 2022",tomas sanchez,sotheby's new york,contemporary day auction,acrylic on canvas,47⅞ by 35¾ in. 121.6 by 90.8 cm.,300000.0,415800.0
3141,"20,000 - 30,000 usd","35,280 usd","may 20, 2022",antonio segui,sotheby's new york,contemporary day auction,acrylic and charcoal on canvas,32 by 39¼ in. 81.3 by 99.7 cm.,30000.0,35280.0
3142,"20,000 - 30,000 usd","48,255 usd","may 19, 2022",mariano rodriguez,bonhams new york,post-war & contemporary art,oil on canvas,59 by 50 1/4 in. 151.1 by 127.6 cm.,30000.0,48255.0
3143,"10,000 - 15,000 usd","11,250 usd","may 19, 2022",antonio segui,"heritage auctions, dallas",modern & contemporary art,pastel and charcoal on canvas,148.6 x 148.6 cm,15000.0,11250.0
3144,"30,000 - 40,000 usd","37,800 usd","may 18, 2022",emilio pettoruti,sotheby's new york,modern day auction,oil on canvas,10 by 13¼ in. 25.4 by 33.7 cm.,40000.0,37800.0
3145,"80,000 - 120,000 usd","88,200 usd","may 18, 2022",juan soriano,sotheby's new york,modern day auction,mixed media on masonite,59 3/4 by 48 in. 152 by 122 cm.,120000.0,88200.0
3146,"350,000 - 450,000 usd","693,000 usd","may 18, 2022",rufino tamayo,sotheby's new york,modern day auction,oil and sand on canvas,43¾ by 57½ in. 111.1 by 146.1 cm.,450000.0,693000.0
3147,"100,000 - 200,000 usd","81,900 usd","may 18, 2022",emilio pettoruti,sotheby's new york,modern day auction,oil on aluminum,15⅛ by 21¾ in. 38 by 55 cm.,200000.0,81900.0
3148,"150,000 - 250,000 usd","163,800 usd","may 18, 2022",alfredo ramos martinez,sotheby's new york,modern day auction,"pastel, tempera, colored pencil and charcoal on board",55½ by 43¾ in. 138.7 by 109.4 cm.,250000.0,163800.0
3149,"15,000 - 20,000 usd","24,225 usd","may 18, 2022",rene portocarrero,bonhams new york,impressionist & modern art,oil on canvas,21 x 14 in 54.7 x 35.6 cm,20000.0,24225.0
3150,"600,000 - 800,000 usd","730,800 usd","may 18, 2022",rufino tamayo,sotheby's new york,modern day auction,oil and sand on canvas,31⅞ by 39½ in. 81 by 100.3 cm.,800000.0,730800.0
3151,"200,000 - 300,000 usd","189,000 usd","may 18, 2022",david alfaro siqueiros,sotheby's new york,modern day auction,pyroxylin on panel,48 by 45¼ in. 121.9 by 114.9 cm.,300000.0,189000.0
3152,"80,000 - 120,000 usd","94,500 usd","may 18, 2022",diego rivera,sotheby's new york,modern day auction,oil on canvas,18¼ by 15⅛ in. 46.4 by 38.4 cm.,120000.0,94500.0
3153,"6,000 - 8,000 eur","15,500 eur*","may 18, 2022",antonio segui,blanchet & associes,sale modern painting,mixed media on canvas,51 x 71 cm,7760.0,15035.0
3154,"250,000 - 350,000 usd","378,000 usd","may 18, 2022",joaquin torres garcia,sotheby's new york,modern day auction,oil on board,20⅛ by 25⅞ in. 51.1 by 65.7 cm.,350000.0,378000.0
3155,"70,000 - 90,000 usd","75,600 usd","may 18, 2022",david alfaro siqueiros,sotheby's new york,modern day auction,pyroxylin on panel,32½ by 24 in. 82.6 by 60.3 cm.,90000.0,75600.0
3156,"400,000 - 600,000 usd","340,200 usd","may 18, 2022",francisco toledo,sotheby's new york,modern day auction,oil on canvas,40⅞ by 103½ in. 103.8 by 263 cm.,600000.0,340200.0
3157,"40,000 - 60,000 usd","40,320 usd","may 18, 2022",joaquin torres garcia,sotheby's new york,modern day auction,oil on canvas,19a by 16 in. 49.8 by 40.6 cm.,60000.0,40320.0
3158,"800,000 - 1,200,000 usd","1,260,000 usd","may 14, 2022",joaquin torres garcia,christie's new york,impressionist and modern works on paper and day sale,tempera on board,29 1a2 x 20 3a4 in. 75 x 52.8 cm.,1200000.0,1260000.0
3159,"800 - 1,200 usd",650 usd*,"may 13, 2022",cesar villacres,weschler's,capital collections auction,oil on canvas,20 x 24 in 50.8 x 61 cm 38 l,1200.0,650.0
3160,"30,000 - 50,000 usd","30,000 usd","may 12, 2022",fernando de szyszlo,swann auction galleries,contemporary art,oil on canvas,1270x1270 mm 50x50 inches,50000.0,30000.0
3161,200 - 400 eur,"15,000 eur*","may 12, 2022",rene portocarrero,galleria pananti,modern and contemporary art,oil on paper,cm. 50x80,388.0,14550.0
3162,"30,000 sek","36,000 sek*","may 10, 2022 - may 11, 2022",francisco toledo,stockholms auction house,modern & contemporary,mixed media,30 x 46 cm.,2640.0,3168.0
3163,"12,000 - 18,000 usd","7,000 usd*","apr 09, 2022",rene portocarrero,neal auction company,"spring estates april 8 & 9, 2022 day 2 - lots 198-560",photographs,sight 21 in. x 16 1/2 in.,18000.0,7000.0
3164,"150,000 - 250,000 mxn","140,000 mxn*","apr 07, 2022",alfredo ramos martinez,"morton auctions, monte athos",modern and contemporary art,oil on canvas,60 x 50 cm,12500.0,7000.0
3165,"1,500 - 3,000 eur","3,864 eur","apr 01, 2022",francisco toledo,thierry de maigret,modern and contemporary paintings - art nouveau - art deco,gouache,35 x 23 cm,2910.0,3748.08
3166,"12,000 - 15,000 eur","20,992 eur","mar 30, 2022",antonio segui,artcurial,contemporaryart,acrylic on canvas,"h: 73 w: 92 cm 2007""",14550.0,20362.239999999998
3167,"15,000 - 25,000 eur","19,680 eur","mar 30, 2022",antonio segui,artcurial,contemporaryart,acrylic on canvas,"h: 81 w: 100 cm 2010""",24250.0,19089.6
3168,"50,000 - 70,000 usd","35,000 usd*","mar 25, 2022",francisco zuniga,clars auction gallery,march 25th modern + contemporary art + design,oil on canvas,"41""h x 25.25""w d46""h x 30""w d",70000.0,35000.0
3169,"30,000 - 40,000 usd","44,100 usd","mar 11, 2022",fernando de szyszlo,sotheby's new york,contemporary curated,acrylic on canvas,58 ½ by 46 ½ in. 148.6 by 118.1 cm.,40000.0,44100.0
3170,"750,000 - 950,000 usd","1,800,000 usd","mar 11, 2022",tomas sanchez,christie's new york,latin american art,oil on canvas,78 3a4 x 99 3a8 in. 200 x 252.3 cm.,950000.0,1800000.0
3171,"70,000 - 90,000 usd","75,600 usd","mar 11, 2022",david alfaro siqueiros,christie's new york,latin american art,acrylic on masonite,33 1a2 x 27 5a8 in. 85.1 x 70.2 cm.,90000.0,75600.0
3172,"50,000 - 70,000 usd","81,900 usd","mar 11, 2022",rufino tamayo,christie's new york,latin american art,oil on canvas,13 3a4 x 7 7a8 in. 35 x 20 cm.,70000.0,81900.0
3173,"70,000 - 90,000 usd","75,600 usd","mar 11, 2022",antonio segui,sotheby's new york,contemporary curated,"acrylic, pastel and fabric collage on canvas",59 by 58¾ in. 150 by 149 cm.,90000.0,75600.0
3174,"700,000 - 900,000 usd","4,140,000 usd","mar 11, 2022",diego rivera,christie's new york,latin american art,oil on canvas,31 1a4 x 39 in. 79.4 x 99.1 cm.,900000.0,4140000.0
3175,"600,000 - 800,000 usd","882,000 usd","mar 11, 2022",rufino tamayo,christie's new york,latin american art,oil and sand on canvas,37 1a2 x 50 7a8 in. 95.3 x 128.9 cm.,800000.0,882000.0
3176,"100,000 - 150,000 usd","94,500 usd","mar 11, 2022",alfredo ramos martinez,christie's new york,latin american art,oil on board laid on board,26 3a8 x 32 in. 67 x 81.3 cm.,150000.0,94500.0
3177,"120,000 - 180,000 usd","277,200 usd","mar 11, 2022",diego rivera,christie's new york,latin american art,oil on masonite,9 x 11 1a2 in. 22.9 x 29.2 cm.,180000.0,277200.0
3178,"70,000 - 90,000 usd","75,600 usd","mar 11, 2022",fernando de szyszlo,christie's new york,latin american art,acrylic on canvas,58 1a4 x 46 3a4 in. 148 x 118.8 cm.,90000.0,75600.0
3179,"650,000 - 1,300,000 mxn","600,000 mxn*","feb 24, 2022",francisco toledo,"morton auctions, monte athos",modern and contemporary art auction,oil and sand on canvas,110 x 80 cm,65000.0,30000.0
3180,"8,000 eur","8,000 eur*","feb 23, 2022 - feb 24, 2022",rene portocarrero,duran art & auctions,auction 602,oil on canvas,61 x 50 cm,7760.0,7760.0
3181,"1,000 - 10,000 usd","8,500 usd*","feb 23, 2022",fernando de szyszlo,hill auction gallery,euphoria,oil painting on canvas,30.75 x 30.5 in.,10000.0,8500.0
3182,"20,000 - 25,000 usd","18,750 usd","feb 04, 2022 - feb 18, 2022",alfredo ramos martinez,christie's online,latin american art online,conte crayon and pastel on newsprint laid on board,23 x 17 1 a 2 in. 58.4 x 44.5 cm. 28 1 a 2 x...,25000.0,18750.0
3183,"30,000 - 40,000 usd","25,000 usd","feb 04, 2022 - feb 18, 2022",rene portocarrero,christie's online,latin american art online,oil on canvas,24 x 19 3 a 4 in. 61 x 50.2 cm.,40000.0,25000.0
3184,"25,000 - 35,000 usd","47,500 usd","feb 04, 2022 - feb 18, 2022",antonio segui,christie's online,latin american art online,acrylic and newspaper collage on canvas,59 x 70 in. 149.9 x 177.8 cm.,35000.0,47500.0
3185,"35,000 - 45,000 usd","50,000 usd","feb 04, 2022 - feb 18, 2022",david alfaro siqueiros,christie's online,latin american art online,pyroxyline on paper laid on masonite,25 1 a 2 x 19 3 a 8 in. 64.8 x 49.1 cm.,45000.0,50000.0
3186,"35,000 - 45,000 usd","40,000 usd","feb 04, 2022 - feb 18, 2022",fernando de szyszlo,christie's online,latin american art online,oil on canvas,31 3 a 4 x 39 1 a 4 in. 80.6 x 99.7 cm.,45000.0,40000.0
3187,"800 - 1,200 usd","2,800 usd","jan 27, 2022",cesar villacres,stair galleries,european and american fine art,oil on canvas,25 1/4 x 30 in. 33 1/2 x 38 1/2 in.,1200.0,2800.0
3188,"1,500 - 2,000 eur","1,200 eur","dec 19, 2021",antonio segui,goxe beliasch,gilles ouaki - 50 years of collection of contemporary art and design,cardboard portfolio containing twenty photolithographs,65 x 50 cm,1940.0,1164.0
3189,"6,000 - 8,000 usd","11,970 usd","dec 09, 2021 - dec 17, 2021",antonio segui,sotheby's new york,contemporary art | new york,oil on canvas,21 5/8 by 18 in. 54.9 by 45.7 cm.,8000.0,11970.0
3190,"6,000 - 8,000 usd","10,080 usd","dec 09, 2021 - dec 17, 2021",antonio segui,sotheby's new york,contemporary art | new york,oil on canvas,18 1/4 by 21 1/2 in. 46.4 by 54.6 cm.,8000.0,10080.0
3191,"30,000 - 40,000 usd","32,760 usd","dec 09, 2021 - dec 17, 2021",fernando de szyszlo,sotheby's new york,contemporary art | new york,oil on canvas,45 1/4 by 45 1/4 in. 114.9 by 114.9 cm.,40000.0,32760.0
3192,"1,000 - 1,500 usd","11,970 usd","dec 09, 2021 - dec 17, 2021",graciela rodo-boulanger,sotheby's new york,contemporary art | new york,oil on canvas,51 by 63 3/4 in. 129.5 by 161.1 cm.,1500.0,11970.0
3193,"12,000 - 18,000 usd","20,800 usd","dec 15, 2021",elmar rojas,rago arts and auction center,20|21 art,oil and acrylic on canvas,70½ h aa 58½ w in179 aa 149 cm,18000.0,20800.0
3194,"12,000 - 18,000 usd","22,100 usd","dec 15, 2021",elmar rojas,rago arts and auction center,20|21 art,oil and acrylic on canvas,67 h aa 58¼ w in170 aa 148 cm,18000.0,22100.0
3195,"20,000 - 30,000 usd","69,300 usd","dec 03, 2021 - dec 13, 2021",rene portocarrero,sotheby's new york,modern art | new york,oil on canvas,35 by 22 in. 88.9 by 55.9 cm.,30000.0,69300.0
3196,"30,000 - 50,000 eur","93,000 eur","dec 11, 2021",jesus-rafael soto,native auction house,"tribal art, modern art and 20th century furniture","acrylic paint on panel, and painted metal rods","62 x 62 x 6,5 cm",48500.0,90210.0
3197,"6,000 - 8,000 usd","3,500 usd*","nov 24, 2021 - dec 08, 2021",antonio segui,castells,online: modern and contemporary art,oil and pastel on linen,48 x 31 cm,8000.0,3500.0
3198,"600 - 1,000 usd",649 usd,"dec 04, 2021",cesar villacres,vogt auction galleries,holiday luxury estates,oil on canvas,"12 x 16"" 21.5 x 25.5""",1000.0,649.0
3199,"1,200 - 1,800 usd","2,000 usd*","dec 01, 2021",rene portocarrero,millea bros.,select: 3 day auction,plexiglass,"17""h x 10.5""w (sight)",1800.0,2000.0
3200,"750 - 1,500 usd",475 usd*,"nov 30, 2021",rufino tamayo,lion and unicorn,fall art & antiques auction,acrylic on paper,"25-1/2""w x 37-3/4""h",1500.0,475.0
3201,"2,000 - 3,000 chf","4,400 chf*","nov 23, 2021",antonio segui,germann auctions,"paintings, sculptures, watercolors, drawings and multiples",oil on canvas,h 700 mm w 500 mm.,3060.0,4488.0
3202,"2,000 - 3,000 chf","2,800 chf*","nov 23, 2021",antonio segui,germann auctions,"paintings, sculptures, watercolors, drawings and multiples",oil on paper on canvas,h 550 mm w 460 mm.,3060.0,2856.0
3203,"22,000 - 25,000 eur","21,000 eur*","nov 20, 2021",antonio segui,louiza auction,"xixth, modern & contemporary paintings and sculptures street art, graffiti, multiple",acrylic on canvas,92 x 73 cm,24250.0,20370.0
3204,"150,000 - 200,000 usd","315,000 usd","nov 19, 2021",tomas sanchez,sotheby's new york,contemporary day auction,acrylic on canvas,36 1/8 by 24 in. 91.8 by 61 cm.,200000.0,315000.0
3205,"60,000 - 80,000 usd","75,600 usd","nov 19, 2021",antonio segui,sotheby's new york,contemporary day auction,acrylic on canvas,78 3/4 by 78 3/4 in. 200 by 200 cm.,80000.0,75600.0
3206,"300,000 - 400,000 usd","472,500 usd","nov 19, 2021",jesus-rafael soto,sotheby's new york,contemporary day auction,oil on canvas,25¼ by 31¾ in. 64.1 by 80.6 cm.,400000.0,472500.0
3207,"30,000 - 40,000 usd","56,700 usd","nov 19, 2021",antonio segui,sotheby's new york,contemporary day auction,acrylic on canvas,63⅛ by 59⅛ in. 160 by 149.9 cm.,40000.0,56700.0
3208,"280,000 - 350,000 usd","378,000 usd","nov 19, 2021",tomas sanchez,sotheby's new york,contemporary day auction,acrylic on canvas,36 by 48 in. 91.4 by 121.9 cm.,350000.0,378000.0
3209,600 - 800 usd,"1,500 usd*","nov 18, 2021",jose antonio velasquez,the potomack company,20th century artwork: from latin america to europe,oil on canvasboard,18 1/2 x 26 in.,800.0,1500.0
3210,"15,000 - 30,000 usd","13,000 usd*","nov 18, 2021",fernando de szyszlo,the potomack company,20th century artwork: from latin america to europe,oil on canvas,50 x 50 in.,30000.0,13000.0
3211,"30,000 - 40,000 usd","30,240 usd","nov 18, 2021",fernando de szyszlo,phillips new york,20th century & contemporary art day sale - morning session,oil on canvas,46 5/8 x 46 5/8 in.,40000.0,30240.0
3212,"80,000 - 120,000 usd","81,900 usd","nov 18, 2021",francisco toledo,phillips new york,20th century & contemporary art day sale - morning session,oil and sand on canvas,31 x 38 5/8 in.,120000.0,81900.0
3213,"150,000 - 250,000 usd","350,000 usd","nov 17, 2021",diego rivera,"heritage auctions, dallas",modern & contemporary art signature® auction,oil on canvas,53 x 42 1/2 inches,250000.0,350000.0
3214,"100,000 - 150,000 usd","126,000 usd","nov 17, 2021",david alfaro siqueiros,sotheby's new york,modern day auction,painting,33 1/2 by 27 3/4 in. 85 by 70.5 cm.,150000.0,126000.0
3215,"150,000 - 250,000 usd","138,600 usd","nov 17, 2021",rufino tamayo,sotheby's new york,modern day auction,oil and sand on canvas,16 by 25 3/4 in. 40.6 by 65.2 cm.,250000.0,138600.0
3216,"250,000 - 350,000 usd","252,000 usd","nov 17, 2021",david alfaro siqueiros,sotheby's new york,modern day auction,masonite,39 3/8 by 29 1/2 in. 100 by 74.9 cm.,350000.0,252000.0
3217,"80,000 - 120,000 usd","226,800 usd","nov 17, 2021",rene portocarrero,sotheby's new york,modern day auction,oil on paper mounted on masonite,39 1/4 by 27 3/4 in. 99.7 by 70.5 cm.,120000.0,226800.0
3218,"80,000 - 120,000 usd","138,600 usd","nov 17, 2021",francisco toledo,sotheby's new york,modern day auction,oil and sand on canvas,38 3/8 by 51 1/4 in. 97.5 by 130.3 cm.,120000.0,138600.0
3219,"30,000 - 40,000 usd","22,680 usd","nov 17, 2021",rufino tamayo,sotheby's new york,modern day auction,"charcoal, oil and sanguine on gessoed masonite",39 1/4 by 31 7/8 in. 99.7 by 81 cm.,40000.0,22680.0
3220,"70,000 - 90,000 usd","119,700 usd","nov 17, 2021",rene portocarrero,sotheby's new york,modern day auction,oil on board mounted on aluminum,28 1/4 by 36 1/4 in. 71.9 by 92.2 cm.,90000.0,119700.0
3221,"150,000 - 200,000 usd","189,000 usd","nov 17, 2021",joaquin torres garcia,sotheby's new york,modern day auction,ink on incised wood,19 3/8 by 11 3/4 in. 49.3 by 29.8 cm.,200000.0,189000.0
3222,"250,000 - 350,000 usd","315,000 usd","nov 17, 2021",joaquin torres garcia,sotheby's new york,modern day auction,oil on canvas,21 by 25 1/2 in. 53 by 64.8 cm.,350000.0,315000.0
3223,"350,000 - 450,000 usd","441,000 usd","nov 17, 2021",rufino tamayo,sotheby's new york,modern day auction,oil and sand on canvas,31 3/4 by 39 5/8 in. 80.6 by 100.6 cm.,450000.0,441000.0
3224,"1,800,000 - 2,500,000 usd","3,287,000 usd","nov 16, 2021",diego rivera,sotheby's new york,modern evening auction,oil on canvas,31 3/4 by 25 3/4 in. 80.8 by 65.2 cm. 31 3/4...,2500000.0,3287000.0
3225,"250,000 - 350,000 usd","378,000 usd","nov 16, 2021",armando reveron,sotheby's new york,modern evening auction,oil on canvas,27½ by 39½ in. 69.9 by 100.3 cm. 27 1/2 x...,350000.0,378000.0
3226,"700,000 - 900,000 usd","1,230,000 usd","nov 16, 2021",joaquin torres garcia,sotheby's new york,modern evening auction,oil on canvas,33 7/8 by 41 5/8 in. 86 by 105.7 cm. 33...,900000.0,1230000.0
3227,"200,000 usd","300,000 usd*","oct 15, 2021 - nov 10, 2021",joaquin torres garcia,castells,online: bister-pessaj collection,oil on cardboard,47 x 43 cm,200000.0,300000.0
3228,"100,000 - 150,000 usd","82,000 usd*","oct 15, 2021 - nov 10, 2021",joaquin torres garcia,castells,online: bister-pessaj collection,oil on cardboard,"36 x 32,5 cm",150000.0,82000.0
3229,"30,000 - 50,000 usd","40,312 usd","nov 10, 2021",david alfaro siqueiros,bonhams new york,impressionist and modern art,acrylic on panel,31 1/2 x 24 in,50000.0,40312.0
3230,"12,000 - 14,000 eur","13,750 eur","nov 07, 2021",antonio segui,oise auctions,sale of modern and contemporary twentieth art,acrylic on canvas,46 x 55 cm,13580.0,13337.5
3231,"18,000 - 25,000 eur","37,800 eur","oct 19, 2021 - oct 29, 2021",antonio segui,sotheby's paris,past/forward - part ii,oil on canvas,"113,5 x 146 cm 44 11/16 x 57½in. 113,5 x...",24250.0,36666.0
3232,"800 - 1,200 usd","1,386 usd","oct 27, 2021",leopoldo romanac,doyle new york,latin art & post-war & contemporary art,oil on panel,9 3/4 x 14 5/8 inches,1200.0,1386.0
3233,"25,000 - 35,000 usd","20,160 usd","oct 27, 2021",fernando de szyszlo,doyle new york,latin art & post-war & contemporary art,acrylic on canvas,24 x 36 inches,35000.0,20160.0
3234,"100 - 1,000 usd",175 usd*,"oct 27, 2021",rufino tamayo,kodner galleries,"estate jewelry, art & collectibles",oil on canvas,"23-3/4"" h x 31-1/2"" w d",1000.0,175.0
3235,"5,000 - 7,000 usd","13,860 usd","oct 27, 2021",emilio sanchez,doyle new york,latin art & post-war & contemporary art,oil on canvas,36 x 36 inches,7000.0,13860.0
3236,"1,300 - 2,000 eur","1,200 eur","oct 25, 2021",antonio segui,"aguttes, neuilly",contemporary art - from the post-war period to the present day,pastel and mixed media on cardboard,25 x 32.3 cm,1940.0,1164.0
3237,"4,000 - 6,000 eur","7,800 eur","oct 19, 2021",antonio segui,piasa,modern and contemporary art,oil and color oil pastels on canvas,55 x 38 cm,5820.0,7566.0
3238,"3,000 - 5,000 usd","4,400 usd*","oct 19, 2021",fernando de szyszlo,bill hood & sons art & antique auctions,palm beach island estate auction,oil on canvas,27-1/2 x 35-1/2 inches,5000.0,4400.0
3239,"6,000 - 8,000 eur","8,750 eur","oct 13, 2021",antonio segui,christie's paris,"l'art aa fleur de peau, parcours d'une collectionneuse",acrylic and oilstick on canvas,46 x 55 cm. 18 1/8 x 21 5/8 in.,7760.0,8487.5
3240,"25,000 - 35,000 eur","47,500 eur","oct 13, 2021",antonio segui,christie's paris,"l'art aa fleur de peau, parcours d'une collectionneuse",acrylic on canvas,150 x 150 cm. 59 x 59 in.,33950.0,46075.0
3241,"3,000 - 9,000 usd","1,700 usd*","oct 13, 2021",fernando de szyszlo,kodner galleries,"estate jewelry, fine art & collectibles",oil on canvas,"27-1/2"" x 35-1/4""",9000.0,1700.0
3242,"650,000 - 800,000 mxn","600,000 mxn*","oct 07, 2021",juan soriano,"morton auctions, monte athos",mexican art,oil on canvas,51 x 61 cm,40000.0,30000.0
3243,"1,000 - 2,000 usd","1,125 usd","oct 06, 2021",cesar villacres,"hindman, palm beach",palm beach collections,two oils on canvas,16 x 20 inches,2000.0,1125.0
3244,"12,000 - 18,000 usd","13,860 usd","sep 24, 2021 - oct 04, 2021",fernando de szyszlo,sotheby's new york,contemporary art,acrylic on canvas canvas,16 by 19 3/4 in. 40.6 by 50.2 cm. 18 1/4 by...,18000.0,13860.0
3245,"25,000 - 35,000 usd","35,280 usd","sep 24, 2021 - oct 04, 2021",fernando de szyszlo,sotheby's new york,contemporary art,oil on canvas,31 3/4 by 39 in. 80.6 by 99 cm 32 3/4 by 40...,35000.0,35280.0
