pais,categoria,tematica,tecnica,soporte,medidas,fecha,etiquetas,precio,obra,autor,link
Ucrania,Pintura,Lienzo,Oleo,Paisaje,80 x 60 cm,Artelista desde: 2 de Enero de 2018,"tajikistan, mountains, lake, water, canyon, grass",84.012 MX$,Djirgital,Valeriy Grachov,https://www.artelista.com/obra/4312517055625602-djirgital.html
Mexico,Pintura,Lienzo,Oleo,Retrato,100 x 100 cm,Artelista desde: 17 de Enero de 2018,"marilyn, warhol, pop art, pop",13.200 MX$,La Marilyn,laurence molina,https://www.artelista.com/obra/6981777796523859-la-marilyn.html
Espana,Pintura,Otros,Media Mixta,Lienzo,146 x 114 cm,Artelista desde: 17 de Marzo de 2018,"resina, ramas, corcho, abstracto, alcornoque",Obra vendida,Dehesa herida,B E,https://www.artelista.com/obra/5464777097926934-dehesa-herida.html
Argentina,Pintura,Lienzo,Acrilico,Paisaje,190 x 150 cm,Artelista desde: 12 de Abril de 2018,"#movimiento, #arte Latinoamericano, #arte argentino, #arte CONTEMPORANEO, #abstracto, #puerto",Obra vendida,Flotando,Gisela Gaffoglio,https://www.artelista.com/obra/1849873668848713-flotando.html
Argentina,Pintura,Acrilico,Paisaje,Lienzo,190 x 150 cm,Artelista desde: 21 de Diciembre de 2017,"#arquitectura, #arte CONTEMPORANEO, #arte argentino, #arte Latinoamericano, #urbano, #ciudades",98.454 MX$,Nuevo rumbo,Gisela Gaffoglio,https://www.artelista.com/obra/8989927538691842-nuevo-rumbo.html
Mexico,Pintura,Lienzo,Oleo,Retrato,80 x 80 cm,Artelista desde: 17 de Enero de 2018,"modelo, gold, oro, flores, mujer",10.043 MX$,Mujer con flores 2,laurence molina,https://www.artelista.com/obra/8704786473631072-mujer-con-flores-2.html
Chile,Pintura,Otros,Oleo,Tela,100 x 120 cm,Artelista desde: 17 de Diciembre de 2017,Desuso Tiempo Pasado,135.643 MX$,Locomotora Chilota,Roxana Werner,https://www.artelista.com/obra/8443686699687206-locomotora-chilota.html
Argentina,Pintura,Otros,Acrilico,Lienzo,180 x 150 cm,Artelista desde: 23 de Diciembre de 2017,"#arte argentino, #arte Latinoamericano, #urbano, #ciudades, #arquitectura, #arte CONTEMPORANEO",Obra vendida,Vive y suena,Gisela Gaffoglio,https://www.artelista.com/obra/2489608453351408-vive-y-suena.html
Espana,Pintura,Tabla,Otros,Paisaje,120 x 48 cm,Artelista desde: 30 de Marzo de 2018,"traffic, cars, enamel, street, nyc, new york",Obra vendida,New York #53,Socrates Rizquez,https://www.artelista.com/obra/7569409889682142-new-york-53.html
Argentina,Pintura,Lienzo,Acrilico,Otros,180 x 150 cm,Artelista desde: 19 de Marzo de 2018,"#arte argentino, #arte CONTEMPORANEO, # abstracto, #barco, #velero, #arte Latinoamericano",86.573 MX$,Algo todavia,Gisela Gaffoglio,https://www.artelista.com/obra/4247878492348326-algo-todavia.html
